job_id,title,category,location,work_mode,min_experience,education_required,required_skills,preferred_skills,description
J001,Customer Support Associate,Customer Support,Mumbai,Remote,3,Bachelor,"Communication,Documentation,Teamwork,Customer Service","Reporting,Stakeholder Management","Handle user support, document issues, and ensure service quality."
J002,BI Analyst,Data Analyst,Pune,Remote,5,Bachelor,"Data Analysis,SQL,Excel,Power BI","Python,Tableau,Data Cleaning,Communication","Analyze data, build reports, and support decision-making through dashboards and insights."
J003,Technical Project Associate,Project Manager,Pune,Hybrid,1,Bachelor,"Documentation,Stakeholder Management,Project Coordination,Communication","Teamwork,Risk Management","Coordinate projects, manage stakeholders, and support delivery execution."
J004,Data Insights Associate,Data Analyst,Mumbai,Remote,3,Bachelor,"SQL,Data Analysis,Power BI,Excel","Python,Tableau,Communication,Data Cleaning","Analyze data, build reports, and support decision-making through dashboards and insights."
J005,Program Coordinator,Project Manager,Dubai,Hybrid,2,Bachelor,"Documentation,Project Coordination,Communication,Stakeholder Management","Jira,Agile","Coordinate projects, manage stakeholders, and support delivery execution."
J006,Process Analyst,Operations,Delhi,Remote,6,Bachelor,"Reporting,Excel,Process Improvement,Communication","Teamwork,Stakeholder Management","Drive reporting, improve workflows, and support operational efficiency."
J007,API Developer,Software Engineer,Pune,Remote,4,Master,"APIs,Python,Git,SQL","Teamwork,Problem Solving","Build backend services, work with APIs, and support engineering delivery."
J008,Operations Associate,Operations,Pune,Onsite,5,Master,"Excel,Process Improvement,Communication,Reporting","Stakeholder Management,Documentation","Drive reporting, improve workflows, and support operational efficiency."
J009,Process Analyst,Operations,Hyderabad,Hybrid,5,Bachelor,"Communication,Process Improvement,Reporting,Excel","Teamwork,Documentation,Stakeholder Management,Customer Service","Drive reporting, improve workflows, and support operational efficiency."
J010,Reporting Analyst,Data Analyst,Hyderabad,Onsite,5,Bachelor,"Excel,SQL,Data Analysis,Power BI","Python,Communication,Data Cleaning,Tableau","Analyze data, build reports, and support decision-making through dashboards and insights."
J011,Junior Data Analyst,Data Analyst,Delhi,Hybrid,2,Bachelor,"SQL,Data Analysis,Excel,Power BI","Data Cleaning,Python,Tableau,Communication","Analyze data, build reports, and support decision-making through dashboards and insights."
J012,Program Coordinator,Project Manager,Pune,Remote,6,Bachelor,"Documentation,Stakeholder Management,Project Coordination,Communication","Jira,Agile,Risk Management","Coordinate projects, manage stakeholders, and support delivery execution."
J013,Project Coordinator,Project Manager,Hyderabad,Remote,2,Bachelor,"Communication,Project Coordination,Documentation,Stakeholder Management","Risk Management,Agile","Coordinate projects, manage stakeholders, and support delivery execution."
J014,Talent Acquisition Coordinator,HR,Delhi,Remote,4,Bachelor,"Documentation,Communication,Recruitment,CV Screening","Teamwork,Excel,Stakeholder Management,Customer Service","Support recruitment workflows, candidate screening, and people operations reporting."
J015,Program Coordinator,Project Manager,Bengaluru,Hybrid,6,Bachelor,"Project Coordination,Documentation,Stakeholder Management,Communication","Jira,Agile","Coordinate projects, manage stakeholders, and support delivery execution."
J016,Cloud Support Engineer,Software Engineer,Pune,Hybrid,2,Bachelor,"Python,SQL,Git,APIs","Docker,Teamwork","Build backend services, work with APIs, and support engineering delivery."
J017,Software Engineer,Software Engineer,Bengaluru,Hybrid,4,Bachelor,"SQL,Git,Python,APIs","Problem Solving,Cloud","Build backend services, work with APIs, and support engineering delivery."
J018,Program Coordinator,Project Manager,Dubai,Remote,5,Master,"Documentation,Communication,Project Coordination,Stakeholder Management","Risk Management,Agile","Coordinate projects, manage stakeholders, and support delivery execution."
J019,Data Insights Associate,Data Analyst,Hyderabad,Remote,2,Bachelor,"SQL,Power BI,Data Analysis,Excel","Tableau,Python","Analyze data, build reports, and support decision-making through dashboards and insights."
J020,Talent Acquisition Coordinator,HR,Hyderabad,Remote,1,Bachelor,"CV Screening,Recruitment,Communication,Documentation","Teamwork,Customer Service,Stakeholder Management,Excel","Support recruitment workflows, candidate screening, and people operations reporting."
J021,Support Operations Analyst,Customer Support,Bengaluru,Hybrid,1,Bachelor,"Communication,Teamwork,Documentation,Customer Service","Excel,Stakeholder Management,Reporting,Problem Solving","Handle user support, document issues, and ensure service quality."
J022,Delivery Associate,Project Manager,Pune,Hybrid,5,Bachelor,"Documentation,Project Coordination,Communication,Stakeholder Management","Risk Management,Agile,Teamwork,Jira","Coordinate projects, manage stakeholders, and support delivery execution."
J023,Delivery Associate,Project Manager,Hyderabad,Onsite,6,Bachelor,"Documentation,Project Coordination,Stakeholder Management,Communication","Agile,Teamwork,Jira,Risk Management","Coordinate projects, manage stakeholders, and support delivery execution."
J024,Junior Data Analyst,Data Analyst,Delhi,Onsite,6,Bachelor,"Data Analysis,Power BI,Excel,SQL","Python,Tableau,Communication,Data Cleaning","Analyze data, build reports, and support decision-making through dashboards and insights."
J025,Technical Project Associate,Project Manager,Bengaluru,Onsite,1,Bachelor,"Documentation,Communication,Project Coordination,Stakeholder Management","Risk Management,Teamwork","Coordinate projects, manage stakeholders, and support delivery execution."
J026,Program Operations Specialist,Operations,Pune,Onsite,2,Master,"Communication,Reporting,Excel,Process Improvement","Documentation,Teamwork","Drive reporting, improve workflows, and support operational efficiency."
J027,Data Insights Associate,Data Analyst,Mumbai,Hybrid,2,Bachelor,"Power BI,SQL,Data Analysis,Excel","Data Cleaning,Tableau,Communication","Analyze data, build reports, and support decision-making through dashboards and insights."
